input,language,dialect,originregion
"إيش بتسوي بعدين؟، عربي، يمني، تعز.",Arabic,Yemeni,Yemen
"عطيني جوالك، عربي، يمني، الحديدة.",Arabic,Yemeni,Yemen
"السيارة جاهزة، عربي، يمني، المكلا.",Arabic,Yemeni,Yemen
"أبغى قهوة، عربي، يمني، إب.",Arabic,Yemeni,Yemen
"تعال نلعب كورة، عربي، يمني، صنعاء.",Arabic,Yemeni,Yemen
"إيش رأيك في الفيلم؟، عربي، يمني، عدن.",Arabic,Yemeni,Yemen
"شلونك اليوم؟، عربي، عراقي، بغداد.",Arabic,Iraqi,Iraq
"الجو اليوم حار هواي، عربي، عراقي، البصرة.",Arabic,Iraqi,Iraq
"وين كنت البارحة؟، عربي، عراقي، الموصل.",Arabic,Iraqi,Iraq
"رايح للسوق؟، عربي، عراقي، أربيل.",Arabic,Iraqi,Iraq
"تعال نروح على الكورنيش، عربي، عراقي، الناصرية.",Arabic,Iraqi,Iraq
"ليش زعلان؟، عربي، عراقي، كربلاء.",Arabic,Iraqi,Iraq
"شفت المباراة البارحة؟، عربي، عراقي، بغداد.",Arabic,Iraqi,Iraq
"وين تروح هسه؟، عربي، عراقي، البصرة.",Arabic,Iraqi,Iraq
"تأخرت واي، عربي، عراقي، الموصل.",Arabic,Iraqi,Iraq
"جبتلك هدية، عربي، عراقي، أربيل.",Arabic,Iraqi,Iraq
"السيارة وصلت، عربي، عراقي، الناصرية.",Arabic,Iraqi,Iraq
"أنا تعب هسه، عربي، عراقي، كربلاء.",Arabic,Iraqi,Iraq
"أشوفك بعدين، عربي، عراقي، بغداد.",Arabic,Iraqi,Iraq
"المكان مزدحم، عربي، عراقي، البصرة.",Arabic,Iraqi,Iraq
"شنو بتسوي بعدين؟، عربي، عراقي، الموصل.",Arabic,Iraqi,Iraq
"عطيني موبايلك، عربي، عراقي، أربيل.",Arabic,Iraqi,Iraq
"السيارة جاهزة، عربي، عراقي، الناصرية.",Arabic,Iraqi,Iraq
"أريد قهوة، عربي، عراقي، كربلاء.",Arabic,Iraqi,Iraq
"تعال نلعب كرة، عربي، عراقي، بغداد.",Arabic,Iraqi,Iraq
"شنو رأيك بالفيلم؟، عربي، عراقي، البصرة.",Arabic,Iraqi,Iraq
"كيفنك الليلة؟، عربي، سوداني، الخرطوم.",Arabic,Sudanese,Sudan
"الجو حر شديد، عربي، سوداني، أم درمان.",Arabic,Sudanese,Sudan
"وين كنت أمس؟، عربي، سوداني، بورتسودان.",Arabic,Sudanese,Sudan
"عاوز حاجة من السوق؟، عربي، سوداني، كسلا.",Arabic,Sudanese,Sudan
"خلينا نمشي البحر، عربي، سوداني، مدني.",Arabic,Sudanese,Sudan
"مالك زعلان؟، عربي، سوداني، الأبيض.",Arabic,Sudanese,Sudan
"شفت الماتش مبارح؟، عربي، سوداني، الخرطوم.",Arabic,Sudanese,Sudan
"وين ماشي هسي؟، عربي، سوداني، أم درمان.",Arabic,Sudanese,Sudan
"اتأخرت كتير، عربي، سوداني، بورتسودان.",Arabic,Sudanese,Sudan
"جبت ليك هدية، عربي، سوداني، كسلا.",Arabic,Sudanese,Sudan
"العربية وصلت، عربي، سوداني، مدني.",Arabic,Sudanese,Sudan
"أنا تعبان اليوم، عربي، سوداني، الأبيض.",Arabic,Sudanese,Sudan
"بشوفك بعدين، عربي، سوداني، الخرطوم.",Arabic,Sudanese,Sudan
"المكان زحمة، عربي، سوداني، أم درمان.",Arabic,Sudanese,Sudan
"حتسوي شنو بعدين؟، عربي، سوداني، بورتسودان.",Arabic,Sudanese,Sudan
"اديني موبايلك، عربي، سوداني، كسلا.",Arabic,Sudanese,Sudan
"العربية جاهزة، عربي، سوداني، مدني.",Arabic,Sudanese,Sudan
"داير قهوة، عربي، سوداني، الأبيض.",Arabic,Sudanese,Sudan
"تعال نلعب كورة، عربي، سوداني، الخرطوم.",Arabic,Sudanese,Sudan
"رأيك شنو في الفيلم؟، عربي، سوداني، أم درمان.",Arabic,Sudanese,Sudan
"كيف حالك اليوم؟، عربي، حسانية، نواكشوط.",Arabic,Hassaniya,Mauritania
"الجو حر شديد، عربي، حسانية، نواذيبو.",Arabic,Hassaniya,Mauritania
"فين كنت البارح؟، عربي، حسانية، كيفة.",Arabic,Hassaniya,Mauritania
"باغي حاجة من السوق؟، عربي، حسانية، روصو.",Arabic,Hassaniya,Mauritania
"نمشي للبحر؟، عربي، حسانية، أطار.",Arabic,Hassaniya,Mauritania
"شنو أخبارك؟، عربي، حسانية، كيهيدي.",Arabic,Hassaniya,Mauritania
"شفت المباراة البارح؟، عربي، حسانية، نواكشوط.",Arabic,Hassaniya,Mauritania
"وين غادي دابا؟، عربي، حسانية، نواذيبو.",Arabic,Hassaniya,Mauritania
"تأخرت بزاف، عربي، حسانية، كيفة.",Arabic,Hassaniya,Mauritania
"جبت لك هدية، عربي، حسانية، روصو.",Arabic,Hassaniya,Mauritania
"السيارة وصلت، عربي، حسانية، أطار.",Arabic,Hassaniya,Mauritania
"أنا تعبان اليوم، عربي، حسانية، كيهيدي.",Arabic,Hassaniya,Mauritania
"نشوفك بعدين، عربي، حسانية، نواكشوط.",Arabic,Hassaniya,Mauritania
"المكان مزدحم، عربي، حسانية، نواذيبو.",Arabic,Hassaniya,Mauritania
"شنو بتسوي بعدين؟، عربي، حسانية، كيفة.",Arabic,Hassaniya,Mauritania
"عطيني موبايلك، عربي، حسانية، روصو.",Arabic,Hassaniya,Mauritania
"السيارة جاهزة، عربي، حسانية، أطار.",Arabic,Hassaniya,Mauritania
"أبغى قهوة، عربي، حسانية، كيهيدي.",Arabic,Hassaniya,Mauritania
"تعال نلعب كورة، عربي، حسانية، نواكشوط.",Arabic,Hassaniya,Mauritania
"شنو رأيك بالفيلم؟، عربي، حسانية، نواذيبو.",Arabic,Hassaniya,Mauritania
"كيف حالك اليوم؟، عربي، عماني، مسقط.",Arabic,Omani,Oman
"الجو حر وايد، عربي، عماني، صلالة.",Arabic,Omani,Oman
"وين كنت أمس؟، عربي، عماني، نزوى.",Arabic,Omani,Oman
"تحتاج شي من السوق؟، عربي، عماني، صحار.",Arabic,Omani,Oman
"خلينا نروح البحر، عربي، عماني، صور.",Arabic,Omani,Oman
"ليش زعلان؟، عربي، عماني، عبري.",Arabic,Omani,Oman
"شفت المباراة البارحة؟، عربي، عماني، مسقط.",Arabic,Omani,Oman
"وين رايح الحين؟، عربي، عماني، صلالة.",Arabic,Omani,Oman
"تأخرت وايد، عربي، عماني، نزوى.",Arabic,Omani,Oman
"جبت لك هدية، عربي، عماني، صحار.",Arabic,Omani,Oman
"السيارة وصلت، عربي، عماني، صور.",Arabic,Omani,Oman
"أنا تعبان اليوم، عربي، عماني، عبري.",Arabic,Omani,Oman
"بشوفك بعدين، عربي، عماني، مسقط.",Arabic,Omani,Oman
"المكان زحمة، عربي، عماني، صلالة.",Arabic,Omani,Oman
"شو بتسوي بعدين؟، عربي، عماني، نزوى.",Arabic,Omani,Oman
"عطيني جوالك، عربي، عماني، صحار.",Arabic,Omani,Oman
"السيارة جاهزة، عربي، عماني، صور.",Arabic,Omani,Oman
"أبغى قهوة، عربي، عماني، عبري.",Arabic,Omani,Oman
"تعال نلعب كرة، عربي، عماني، مسقط.",Arabic,Omani,Oman
"شو رأيك في الفيلم؟، عربي، عماني، صلالة.",Arabic,Omani,Oman
"شلونك اليوم؟، عربي، نجدي، الرياض.",Arabic,Najd,Saudi Arabia
"الجو حر مرة، عربي، نجدي، القصيم.",Arabic,Najd,Saudi Arabia
"وين كنت أمس؟، عربي، نجدي، حائل.",Arabic,Najd,Saudi Arabia
"تبي شي من السوق؟، عربي، نجدي، بريدة.",Arabic,Najd,Saudi Arabia
"خل نروح للبر، عربي، نجدي، عنيزة.",Arabic,Najd,Saudi Arabia
"ليه زعلان؟، عربي، نجدي، الزلفي.",Arabic,Najd,Saudi Arabia
"شفت المباراة البارحة؟، عربي، نجدي، المجمعة.",Arabic,Najd,Saudi Arabia
"وين رايح الحين؟، عربي، نجدي، الدوادمي.",Arabic,Najd,Saudi Arabia
"تأخرت كثير، عربي، نجدي، الرس.",Arabic,Najd,Saudi Arabia
"جبت لك هدية، عربي، نجدي، وادي الدواسر.",Arabic,Najd,Saudi Arabia
"السيارة وصلت، عربي، نجدي، الرياض.",Arabic,Najd,Saudi Arabia
"أنا تعبان اليوم، عربي، نجدي، القصيم.",Arabic,Najd,Saudi Arabia
"بشوفك بعدين، عربي، نجدي، حائل.",Arabic,Najd,Saudi Arabia
"المكان زحمة، عربي، نجدي، بريدة.",Arabic,Najd,Saudi Arabia
"وش بتسوي بعدين؟، عربي، نجدي، عنيزة.",Arabic,Najd,Saudi Arabia
"عطيني جوالك، عربي، نجدي، الزلفي.",Arabic,Najd,Saudi Arabia
"السيارة جاهزة، عربي، نجدي، المجمعة.",Arabic,Najd,Saudi Arabia
"أبغى قهوة، عربي، نجدي، الدوادمي.",Arabic,Najd,Saudi Arabia
"تعال نلعب كورة، عربي، نجدي، الرس.",Arabic,Najd,Saudi Arabia
"وش رأيك بالفيلم؟، عربي، نجدي، وادي الدواسر.",Arabic,Najd,Saudi Arabia
你好,Chinese,Mandarin,China
请问，洗手间在哪里,Chinese,Mandarin,China
谢谢你,Chinese,Mandarin,China
不客气,Chinese,Mandarin,China
我爱你,Chinese,Mandarin,China
今天天气怎么样,Chinese,Mandarin,China
我叫,Chinese,Mandarin,China
我不知道,Chinese,Mandarin,China
你会说英语吗,Chinese,Mandarin,China
我能帮你吗,Chinese,Mandarin,China
我想要这个,Chinese,Mandarin,China
对不起,Chinese,Mandarin,China
没关系,Chinese,Mandarin,China
现在几点了,Chinese,Mandarin,China
我们去哪儿,Chinese,Mandarin,China
我饿了,Chinese,Mandarin,China
我渴了,Chinese,Mandarin,China
我累了,Chinese,Mandarin,China
这个多少钱,Chinese,Mandarin,China
再见,Chinese,Mandarin,China
你好,Chinese,Cantonese,"Yue, China"
廁所喺邊度,Chinese,Cantonese,"Yue, China"
多謝,Chinese,Cantonese,"Yue, China"
唔使客氣,Chinese,Cantonese,"Yue, China"
我愛你,Chinese,Cantonese,"Yue, China"
今天天氣點樣,Chinese,Cantonese,"Yue, China"
我叫,Chinese,Cantonese,"Yue, China"
我唔知,Chinese,Cantonese,"Yue, China"
你識唔識講英文,Chinese,Cantonese,"Yue, China"
我可以幫你嗎,Chinese,Cantonese,"Yue, China"
我想要呢個,Chinese,Cantonese,"Yue, China"
對唔住,Chinese,Cantonese,"Yue, China"
唔緊要,Chinese,Cantonese,"Yue, China"
而家幾點,Chinese,Cantonese,"Yue, China"
我哋去邊度,Chinese,Cantonese,"Yue, China"
我肚餓,Chinese,Cantonese,"Yue, China"
我口渴,Chinese,Cantonese,"Yue, China"
我攰,Chinese,Cantonese,"Yue, China"
呢個幾多錢,Chinese,Cantonese,"Yue, China"
再見,Chinese,Cantonese,"Yue, China"
你好,Chinese,Shanghainese,"Shanghai, China"
下午好,Chinese,Shanghainese,"Shanghai, China"
早点,Chinese,Shanghainese,"Shanghai, China"
你谢谢,Chinese,Shanghainese,"Shanghai, China"
我来,Chinese,Shanghainese,"Shanghai, China"
你明白吗,Chinese,Shanghainese,"Shanghai, China"
我爱你,Chinese,Shanghainese,"Shanghai, China"
这样,Chinese,Shanghainese,"Shanghai, China"
吃饭了吗,Chinese,Shanghainese,"Shanghai, China"
早上好,Chinese,Shanghainese,"Shanghai, China"
晚上好,Chinese,Shanghainese,"Shanghai, China"
对不起,Chinese,Shanghainese,"Shanghai, China"
怎么样,Chinese,Shanghainese,"Shanghai, China"
恭喜,Chinese,Shanghainese,"Shanghai, China"
你叫什么名字,Chinese,Shanghainese,"Shanghai, China"
我不懂,Chinese,Shanghainese,"Shanghai, China"
你哪里找,Chinese,Shanghainese,"Shanghai, China"
你有约吗,Chinese,Shanghainese,"Shanghai, China"
你喜欢什么,Chinese,Shanghainese,"Shanghai, China"
我回家的,Chinese,Shanghainese,"Shanghai, China"
Lí-hó,Chinese,Hokkien,Southern China
Guá sī,Chinese,Hokkien,Southern China
Lí kàu chia̍h pá bōe,Chinese,Hokkien,Southern China
Guá beh kh,Chinese,Hokkien,Southern China
Lí chia̍h pá-bué,Chinese,Hokkien,Southern China
Lí hó kheh kìm-mih,Chinese,Hokkien,Southern China
Ē-sái kóng chhōe-ngó͘,Chinese,Hokkien,Southern China
Guá kàu chē tī,Chinese,Hokkien,Southern China
Chia̍h-pá beh chia̍h,Chinese,Hokkien,Southern China
Guá ê sè-kài sī,Chinese,Hokkien,Southern China
Lí sī sái nî lāi ê,Chinese,Hokkien,Southern China
Kam-siā lí,Chinese,Hokkien,Southern China
Guá bē tīng-lí,Chinese,Hokkien,Southern China
Lí ê chia ū sái chē bô,Chinese,Hokkien,Southern China
Guá ā-sī,Chinese,Hokkien,Southern China
Lí ē-hiáu kóng Eng-gí bô,Chinese,Hokkien,Southern China
"Káu-choē, guá mā bē tāng-lí",Chinese,Hokkien,Southern China
Chhiàⁿ-chhiáu lí hō,Chinese,Hokkien,Southern China
"Tiō chìn-chiân, guá bē-lóng tāng-lí",Chinese,Hokkien,Southern China
Lí ū ai-piān bô,Chinese,Hokkien,Southern China
你好，客家話，四縣腔，中國,Chinese,Hakka,"Guangdong, China"
"我叫..., 客家話，海陸腔，中國",Chinese,Hakka,"Guangdong, China"
"你食飽未？, 客家話，台灣腔，台灣",Chinese,Hakka,"Guangdong, China"
"請問廁所在哪裡？, 客家話，梅縣腔，中國",Chinese,Hakka,"Guangdong, China"
"多謝你, 客家話，贛南腔，中國",Chinese,Hakka,"Guangdong, China"
"今天天氣好好, 客家話，大埔腔，中國",Chinese,Hakka,"Guangdong, China"
"你住哪裡？, 客家話，客家話河源腔，中國",Chinese,Hakka,"Guangdong, China"
"我不明白, 客家話，寧化腔，中國",Chinese,Hakka,"Guangdong, China"
"請你講慢啲, 客家話，鎮平腔，中國",Chinese,Hakka,"Guangdong, China"
"我哋可以做朋友嗎？, 客家話，詔安腔，中國",Chinese,Hakka,"Guangdong, China"
"你幾歲？, 客家話，惠州腔，中國",Chinese,Hakka,"Guangdong, China"
"我愛你, 客家話，嘉應腔，中國",Chinese,Hakka,"Guangdong, China"
"這個幾多錢, 客家話，連平腔，中國",Chinese,Hakka,"Guangdong, China"
"再見, 客家話，武平腔，中國",Chinese,Hakka,"Guangdong, China"
"你有冇時間？, 客家話，客家話潮州腔，中國",Chinese,Hakka,"Guangdong, China"
"我想學客家話, 客家話，永定腔，中國",Chinese,Hakka,"Guangdong, China"
"食飯了無？, 客家話，客家話泰寧腔，中國",Chinese,Hakka,"Guangdong, China"
起身啦，客家話，客家話鶴佬腔，中國,Chinese,Hakka,"Guangdong, China"
"快啲走, 客家話，客家話黃平腔，中國",Chinese,Hakka,"Guangdong, China"
"好久不見, 客家話，客家話上杭腔，中國",Chinese,Hakka,"Guangdong, China"
你好無,Chinese,Teochew,"East Guangdong, China"
汝食飽未,Chinese,Teochew,"East Guangdong, China"
我是潮州人,Chinese,Teochew,"East Guangdong, China"
今日天气好無,Chinese,Teochew,"East Guangdong, China"
我爱汝,Chinese,Teochew,"East Guangdong, China"
汝做乜物呢,Chinese,Teochew,"East Guangdong, China"
這箇是啥物,Chinese,Teochew,"East Guangdong, China"
我唔知,Chinese,Teochew,"East Guangdong, China"
請問廁所在乜位,Chinese,Teochew,"East Guangdong, China"
箇是幾多錢,Chinese,Teochew,"East Guangdong, China"
我會講潮州話,Chinese,Teochew,"East Guangdong, China"
謝謝,Chinese,Teochew,"East Guangdong, China"
汝早晨好,Chinese,Teochew,"East Guangdong, China"
祝汝一路平安,Chinese,Teochew,"East Guangdong, China"
今晡汝想食些乜,Chinese,Teochew,"East Guangdong, China"
我唔舒服,Chinese,Teochew,"East Guangdong, China"
呢件衫幾好看,Chinese,Teochew,"East Guangdong, China"
我們何時出發,Chinese,Teochew,"East Guangdong, China"
"我需要求医,",Chinese,Teochew,"East Guangdong, China"
我喜愛學潮州話,Chinese,Teochew,"East Guangdong, China"
你吃了没,Chinese,Sichuanese,"Sichuan, China"
我饿了,Chinese,Sichuanese,"Sichuan, China"
这个好吃极了,Chinese,Sichuanese,"Sichuan, China"
今天天气怎么样,Chinese,Sichuanese,"Sichuan, China"
我要去成都,Chinese,Sichuanese,"Sichuan, China"
你住在哪里,Chinese,Sichuanese,"Sichuan, China"
明天你有空吗,Chinese,Sichuanese,"Sichuan, China"
我能帮你吗,Chinese,Sichuanese,"Sichuan, China"
这个多少钱,Chinese,Sichuanese,"Sichuan, China"
你叫什么名字,Chinese,Sichuanese,"Sichuan, China"
你多大了,Chinese,Sichuanese,"Sichuan, China"
能再说一遍吗,Chinese,Sichuanese,"Sichuan, China"
我不懂,Chinese,Sichuanese,"Sichuan, China"
请问洗手间在哪里,Chinese,Sichuanese,"Sichuan, China"
现在几点了,Chinese,Sichuanese,"Sichuan, China"
